seq,book,c,net,err
3000.0,1.6666666666666666E-4,1.0,0.0,47.132402873785516
3000.0,1.6666666666666666E-4,1.0,500.0,47.1303084982245
3000.0,1.6666666666666666E-4,1.0,1000.0,47.128628222485084
3000.0,1.6666666666666666E-4,1.0,1500.0,47.13217021018243
3000.0,1.6666666666666666E-4,1.0,2000.0,47.14129399243418
3000.0,1.6666666666666666E-4,1.0,2500.0,47.15282215515547
3000.0,1.6666666666666666E-4,1.0,3000.0,47.164350317876774
3000.0,1.6666666666666666E-4,1.0,3500.0,47.17587848059808
3000.0,1.6666666666666666E-4,1.0,4000.0,47.187406643319385
3000.0,1.6666666666666666E-4,1.0,4500.0,47.19893480604068
3000.0,1.6666666666666666E-4,1.0,5000.0,47.21046296876199
3000.0,1.6666666666666666E-4,1.0,5500.0,47.221991131483264
3000.0,1.6666666666666666E-4,1.0,6000.0,47.233519294204584
3000.0,1.6666666666666666E-4,1.0,6500.0,47.24504745692589
3000.0,1.6666666666666666E-4,1.0,7000.0,47.25657561964718
3000.0,1.6666666666666666E-4,1.0,7500.0,47.2681037823685
3000.0,1.6666666666666666E-4,1.0,8000.0,47.279631945089804
3000.0,1.6666666666666666E-4,1.0,8500.0,47.29116010781108
3000.0,1.6666666666666666E-4,1.0,9000.0,47.30268827053239
3000.0,1.6666666666666666E-4,1.0,9500.0,47.314216433253684
3000.0,1.6666666666666666E-4,1.0,10000.0,47.32574459597499
3000.0,1.6666666666666666E-4,2.0,0.0,34.8408702401356
3000.0,1.6666666666666666E-4,2.0,500.0,34.85078427267033
3000.0,1.6666666666666666E-4,2.0,1000.0,34.861993871651855
3000.0,1.6666666666666666E-4,2.0,1500.0,34.87842573407016
3000.0,1.6666666666666666E-4,2.0,2000.0,34.9004393910429
3000.0,1.6666666666666666E-4,2.0,2500.0,34.92485742848517
3000.0,1.6666666666666666E-4,2.0,3000.0,34.949275465927435
3000.0,1.6666666666666666E-4,2.0,3500.0,34.973693503369695
3000.0,1.6666666666666666E-4,2.0,4000.0,34.998111540811976
3000.0,1.6666666666666666E-4,2.0,4500.0,35.02252957825424
3000.0,1.6666666666666666E-4,2.0,5000.0,35.046947615696524
3000.0,1.6666666666666666E-4,2.0,5500.0,35.07136565313879
3000.0,1.6666666666666666E-4,2.0,6000.0,35.09578369058106
3000.0,1.6666666666666666E-4,2.0,6500.0,35.12020172802333
3000.0,1.6666666666666666E-4,2.0,7000.0,35.144619765465585
3000.0,1.6666666666666666E-4,2.0,7500.0,35.169037802907866
3000.0,1.6666666666666666E-4,2.0,8000.0,35.19345584035012
3000.0,1.6666666666666666E-4,2.0,8500.0,35.2178738777924
3000.0,1.6666666666666666E-4,2.0,9000.0,35.24229191523467
3000.0,1.6666666666666666E-4,2.0,9500.0,35.26670995267694
3000.0,1.6666666666666666E-4,2.0,10000.0,35.29112799011921
3000.0,1.6666666666666666E-4,3.0,0.0,28.8630061451931
3000.0,1.6666666666666666E-4,3.0,500.0,28.869828642403522
3000.0,1.6666666666666666E-4,3.0,1000.0,28.882129744812023
3000.0,1.6666666666666666E-4,3.0,1500.0,28.902316034148708
3000.0,1.6666666666666666E-4,3.0,2000.0,28.92864969867205
3000.0,1.6666666666666666E-4,3.0,2500.0,28.957730511511144
3000.0,1.6666666666666666E-4,3.0,3000.0,28.987403524483863
3000.0,1.6666666666666666E-4,3.0,3500.0,29.01741336932854
3000.0,1.6666666666666666E-4,3.0,4000.0,29.047591276207548
3000.0,1.6666666666666666E-4,3.0,4500.0,29.07797497087946
3000.0,1.6666666666666666E-4,3.0,5000.0,29.10854518031501
3000.0,1.6666666666666666E-4,3.0,5500.0,29.139115389750536
3000.0,1.6666666666666666E-4,3.0,6000.0,29.169685599186064
3000.0,1.6666666666666666E-4,3.0,6500.0,29.2002558086216
3000.0,1.6666666666666666E-4,3.0,7000.0,29.23082601805712
3000.0,1.6666666666666666E-4,3.0,7500.0,29.2613969457438
3000.0,1.6666666666666666E-4,3.0,8000.0,29.291972738704768
3000.0,1.6666666666666666E-4,3.0,8500.0,29.322548531665774
3000.0,1.6666666666666666E-4,3.0,9000.0,29.35312432462674
3000.0,1.6666666666666666E-4,3.0,9500.0,29.383700117587736
3000.0,1.6666666666666666E-4,3.0,10000.0,29.414292345689265
3000.0,1.6666666666666666E-4,4.0,0.0,26.4094124576779
3000.0,1.6666666666666666E-4,4.0,500.0,26.411530319351307
3000.0,1.6666666666666666E-4,4.0,1000.0,26.41959809815942
3000.0,1.6666666666666666E-4,4.0,1500.0,26.439413032354768
3000.0,1.6666666666666666E-4,4.0,2000.0,26.466146648353558
3000.0,1.6666666666666666E-4,4.0,2500.0,26.49634842417399
3000.0,1.6666666666666666E-4,4.0,3000.0,26.52710794185625
3000.0,1.6666666666666666E-4,4.0,3500.0,26.558053992081057
3000.0,1.6666666666666666E-4,4.0,4000.0,26.589283329990426
3000.0,1.6666666666666666E-4,4.0,4500.0,26.62090504476786
3000.0,1.6666666666666666E-4,4.0,5000.0,26.652564013718397
3000.0,1.6666666666666666E-4,4.0,5500.0,26.68429840536024
3000.0,1.6666666666666666E-4,4.0,6000.0,26.716141305273595
3000.0,1.6666666666666666E-4,4.0,6500.0,26.74823436807532
3000.0,1.6666666666666666E-4,4.0,7000.0,26.78035461684985
3000.0,1.6666666666666666E-4,4.0,7500.0,26.81254579904825
3000.0,1.6666666666666666E-4,4.0,8000.0,26.84476905706262
3000.0,1.6666666666666666E-4,4.0,8500.0,26.877053461336253
3000.0,1.6666666666666666E-4,4.0,9000.0,26.90959870895807
3000.0,1.6666666666666666E-4,4.0,9500.0,26.9422018041598
3000.0,1.6666666666666666E-4,4.0,10000.0,26.97484506462015
3000.0,1.6666666666666666E-4,5.0,0.0,24.43430327463333
3000.0,1.6666666666666666E-4,5.0,500.0,24.433264094100977
3000.0,1.6666666666666666E-4,5.0,1000.0,24.438048697468375
3000.0,1.6666666666666666E-4,5.0,1500.0,24.456665986792796
3000.0,1.6666666666666666E-4,5.0,2000.0,24.48380537282122
3000.0,1.6666666666666666E-4,5.0,2500.0,24.514468413461447
3000.0,1.6666666666666666E-4,5.0,3000.0,24.545928405011775
3000.0,1.6666666666666666E-4,5.0,3500.0,24.577825131253242
3000.0,1.6666666666666666E-4,5.0,4000.0,24.610100770756038
3000.0,1.6666666666666666E-4,5.0,4500.0,24.64264639104305
3000.0,1.6666666666666666E-4,5.0,5000.0,24.675635700247206
3000.0,1.6666666666666666E-4,5.0,5500.0,24.70911054507722
3000.0,1.6666666666666666E-4,5.0,6000.0,24.74268758643976
3000.0,1.6666666666666666E-4,5.0,6500.0,24.776270127383356
3000.0,1.6666666666666666E-4,5.0,7000.0,24.810016198962096
3000.0,1.6666666666666666E-4,5.0,7500.0,24.843804236473638
3000.0,1.6666666666666666E-4,5.0,8000.0,24.877823186512398
3000.0,1.6666666666666666E-4,5.0,8500.0,24.911857712632557
